TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
313190.7936,-9579.8,3621.63,12608.77,11815.45,9361.08,10506.92,15307.05,15521.67
313190.7976,-9574.18,3625.92,12605.53,11810.92,9357.74,10503.58,15303.14,15518.38
313190.8016,-9577.56,3623.39,12598.9,11796.09,9351.83,10489.51,15292.84,15507.89
313190.8056,-9577.7,3621.67,12602.04,11794.28,9357.74,10487.84,15295.41,15510.23
313190.8096,-9583.19,3614.71,12597.04,11799.86,9351.06,10493.71,15295.08,15510.37
313190.8136,-9581.76,3616.38,12598.71,11807.87,9354.12,10501.53,15299.13,15515.33
313190.8176,-9577.37,3622.34,12611.06,11817.03,9366.18,10509.87,15308.72,15524.29
313190.8216,-9578.47,3621.05,12607.77,11800.15,9362.65,10492.23,15300.56,15514.8
313190.8256,-9581.85,3617.72,12592.03,11792.04,9344.96,10483.22,15288.26,15503.03
313190.8296,-9585.19,3614.71,12584.35,11788.8,9336.23,10481.03,15282.54,15498.45
313190.8336,-9580.66,3616.33,12590.55,11793.23,9342.15,10486.94,15287.59,15504.31
313190.8376,-9579.61,3617.19,12591.55,11788.37,9344.01,10482.22,15286.83,15503.31
313190.8416,-9585.43,3612.18,12595.85,11796.14,9348.82,10490.56,15293.31,15509.75
313190.8456,-9586.0,3616.29,12605.62,11808.11,9360.08,10502.2,15303.76,15519.72
313190.8494,-9585.57,3618.53,12606.24,11805.44,9360.27,10498.1,15301.56,15517.9
313190.8534,-9583.76,3614.38,12606.81,11805.39,9361.22,10498.57,15301.18,15518.38
313190.8574,-9582.0,3613.0,12611.77,11815.12,9365.08,10510.11,15308.29,15525.87
313190.8614,-9583.81,3612.57,12609.34,11813.5,9361.89,10507.49,15306.43,15522.48
313190.8654,-9589.58,3609.09,12601.81,11798.34,9355.55,10491.61,15297.56,15513.14
313190.8694,-9591.15,3606.84,12595.42,11795.38,9349.73,10487.8,15292.22,15507.22
313190.8734,-9591.44,3605.56,12596.27,11798.0,9350.87,10489.61,15293.27,15508.22
313190.8774,-9592.49,3602.08,12596.89,11797.86,9349.78,10489.7,15293.17,15507.89
313190.8814,-9593.11,3602.12,12603.86,11801.39,9357.88,10493.85,15299.18,15513.99
