TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
695188.5109,-957.395,-208.071,-182.085,-673.75,813.75,-1417.5,639.92,237.12,74.48
695188.5609,-956.968,-209.901,-181.414,-901.25,2178.75,-1662.5,633.84,228.0,89.68
695188.6109,-960.811,-214.293,-184.83,-927.5,2467.5,-1531.25,633.84,232.56,63.84
695188.6609,-960.994,-212.89,-185.928,-385.0,2213.75,-1435.0,641.44,220.4,71.44
695188.7109,-959.713,-210.084,-186.172,-691.25,1811.25,-1365.0,649.04,232.56,65.36
695188.7609,-962.763,-216.001,-185.806,-472.5,1443.75,-1820.0,635.36,223.44,74.48
695188.8109,-960.75,-212.89,-185.684,-498.75,1426.25,-1706.25,633.84,237.12,82.08
695188.8609,-960.079,-210.389,-186.965,-682.5,1881.25,-1435.0,636.88,235.6,45.6
695188.9109,-963.007,-211.243,-184.342,-140.0,1960.0,-1925.0,647.52,215.84,71.44
695188.9609,-963.251,-214.72,-185.379,-175.0,1347.5,-2135.0,647.52,247.76,59.28
695189.0109,-956.724,-214.964,-179.401,-551.25,1120.0,-1898.75,639.92,223.44,91.2
695189.0609,-960.994,-214.537,-181.658,-201.25,1951.25,-1697.5,647.52,234.08,48.64
695189.1111,-965.264,-211.792,-185.562,-192.5,2073.75,-1513.75,632.32,231.04,63.84
695189.1609,-960.933,-214.476,-187.27,-166.25,2205.0,-1898.75,632.32,221.92,71.44
695189.2109,-961.909,-216.855,-191.296,-805.0,2432.5,-1557.5,639.92,244.72,65.36
695189.2609,-962.458,-212.341,-187.453,-385.0,1916.25,-1680.0,647.52,221.92,82.08
695189.3109,-959.469,-211.792,-186.843,778.75,1295.0,-2003.75,639.92,224.96,57.76
695189.3609,-959.103,-214.354,-180.865,-770.0,857.5,-1715.0,638.4,228.0,76.0
695189.4109,-957.273,-216.855,-185.135,-1015.0,1715.0,-1610.0,642.96,235.6,71.44
695189.4609,-959.896,-216.733,-181.109,-420.0,2161.25,-1566.25,630.8,231.04,53.2
