TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
694406.2109,-961.299,-210.816,-199.043,-525.0,2091.25,-1583.75,638.4,237.12,54.72
694406.2609,-963.922,-214.964,-184.464,-805.0,306.25,-1820.0,630.8,221.92,59.28
694406.3109,-937.631,-205.265,-186.599,-568.75,2458.75,-1373.75,641.44,228.0,68.4
694406.3609,-989.786,-224.968,-180.133,-3176.25,-516.25,-988.75,633.84,229.52,56.24
694406.4109,-934.276,-203.252,-198.921,-1907.5,-1820.0,-1715.0,642.96,235.6,50.16
694406.4609,-957.578,-205.265,-195.688,-5381.25,5337.5,-446.25,644.48,231.04,60.8
694406.5109,-967.155,-215.452,-196.908,-2056.25,2747.5,-2012.5,644.48,228.0,62.32
694406.5609,-953.613,-205.204,-199.348,43.75,4690.0,-2143.75,642.96,214.32,72.96
694406.6109,-962.153,-205.265,-197.518,-1470.0,3141.25,-1828.75,623.2,238.64,71.44
694406.6609,-960.201,-202.459,-206.668,-2283.75,2905.0,-1846.25,626.24,235.6,72.96
694406.7109,-962.092,-192.272,-204.899,-3246.25,-113.75,-3998.75,644.48,240.16,74.48
694406.7609,-955.931,-196.908,-202.642,-4392.5,43.75,-4427.5,638.4,231.04,60.8
694406.8109,-961.97,-199.287,-201.056,-17246.25,-1916.25,-4803.75,656.64,234.08,63.84
694406.861,-945.683,-232.776,-198.738,-7122.5,2660.0,-9117.5,630.8,218.88,69.92
694406.9109,-955.992,-241.682,-204.594,-8828.75,735.0,-5337.5,652.08,223.44,72.96
694406.9609,-951.539,-248.026,-202.398,1496.25,1776.25,-4025.0,642.96,238.64,59.28
694407.0109,-978.745,-235.643,-198.372,3815.0,516.25,-428.75,649.04,228.0,80.56
694407.0609,-951.234,-219.295,-175.741,1041.25,1163.75,-1365.0,626.24,241.68,59.28
694407.1109,-956.907,-214.964,-184.525,-2896.25,481.25,-1575.0,632.32,220.4,82.08
694407.1609,-956.236,-214.171,-194.346,-4751.25,3526.25,-752.5,656.64,232.56,69.92
694407.2109,-957.944,-218.319,-205.753,-9660.0,1242.5,-735.0,641.44,215.84,57.76
694407.2609,-938.912,-209.047,-208.559,-5407.5,-525.0,-2791.25,635.36,224.96,79.04
694407.3109,-956.663,-227.591,-217.648,-8163.75,2922.5,-1041.25,612.56,235.6,65.36
694407.3609,-956.053,-216.245,-206.79,-245.0,3736.25,-1715.0,636.88,232.56,80.56
694407.4109,-953.186,-219.112,-207.888,-35.0,4340.0,-218.75,638.4,240.16,66.88
694407.4609,-960.933,-207.888,-206.607,-2082.5,3150.0,-26.25,630.8,217.36,69.92
694407.5109,-955.992,-213.073,-214.598,-3981.25,1767.5,-463.75,642.96,229.52,79.04
694407.5609,-961.543,-208.01,-209.84,-2038.75,1960.0,-1933.75,627.76,220.4,83.6
694407.6109,-963.434,-212.646,-210.145,-2205.0,-446.25,-1951.25,636.88,228.0,86.64
694407.6609,-952.149,-218.014,-208.925,-3158.75,-813.75,-1330.0,633.84,234.08,71.44
694407.7109,-954.955,-210.816,-205.814,-1120.0,1330.0,-1181.25,644.48,229.52,95.76
694407.7609,-954.711,-206.607,-206.119,-17.5,2651.25,-1443.75,638.4,232.56,74.48
694407.8109,-961.604,-213.683,-206.607,910.0,2695.0,-1811.25,635.36,244.72,85.12
694407.8609,-958.615,-214.293,-211.121,8.75,2196.25,-1951.25,626.24,231.04,97.28
694407.9109,-958.859,-209.169,-211.426,-1216.25,1820.0,-1671.25,632.32,235.6,74.48
694407.9609,-953.43,-210.328,-214.415,-542.5,3220.0,-1303.75,644.48,220.4,79.04
694408.0109,-955.321,-209.718,-214.537,-61.25,3360.0,-1575.0,629.28,247.76,79.04
694408.0609,-958.249,-210.755,-217.831,2458.75,3307.5,-2765.0,632.32,231.04,101.84
694408.1109,-953.064,-219.722,-218.197,1137.5,1400.0,-2485.0,642.96,240.16,72.96
694408.1609,-950.807,-208.376,-216.062,-236.25,1723.75,-1837.5,627.76,229.52,71.44
694408.2109,-956.114,-216.245,-218.38,-936.25,1435.0,-1067.5,632.32,223.44,83.6
694408.2609,-954.04,-209.413,-214.293,-901.25,1295.0,-1172.5,630.8,221.92,85.12
694408.3109,-954.833,-211.792,-214.11,253.75,2135.0,-1863.75,638.4,223.44,85.12
694408.3609,-953.308,-216.794,-213.439,-1916.25,1496.25,-936.25,629.28,221.92,76.0
694408.4109,-957.822,-211.121,-210.938,192.5,1540.0,-1443.75,635.36,221.92,76.0
694408.4609,-953.064,-206.851,-210.694,-1338.75,1627.5,-1382.5,652.08,241.68,77.52
694408.5109,-956.48,-213.439,-210.633,-1015.0,2082.5,-1470.0,630.8,226.48,79.04
694408.5609,-956.114,-210.45,-215.94,-175.0,1636.25,-1356.25,636.88,232.56,100.32
694408.6109,-952.149,-207.217,-212.585,-901.25,1618.75,-1225.0,624.72,237.12,72.96
694408.6609,-954.589,-210.633,-213.5,-516.25,1933.75,-1977.5,633.84,223.44,88.16
694408.7109,-955.016,-212.158,-213.683,17.5,1715.0,-1767.5,642.96,244.72,82.08
694408.7609,-955.565,-208.742,-212.036,-376.25,1645.0,-1522.5,649.04,228.0,76.0
694408.8109,-955.26,-210.084,-213.744,-2003.75,1400.0,-1645.0,647.52,231.04,79.04
694408.8609,-954.345,-215.147,-215.94,1137.5,2668.75,-2275.0,630.8,229.52,76.0
694408.9109,-953.735,-220.881,-213.073,0.0,1776.25,-1426.25,642.96,238.64,85.12
694408.9609,-952.942,-204.899,-210.511,402.5,1925.0,-1828.75,621.68,229.52,95.76
694409.0109,-959.103,-213.683,-215.818,-638.75,2397.5,-1382.5,652.08,232.56,85.12
694409.0609,-956.907,-209.23,-215.879,-857.5,2336.25,-1365.0,639.92,238.64,47.12
694409.1109,-952.637,-211.792,-215.94,-971.25,2520.0,-1540.0,638.4,215.84,86.64
694409.1609,-955.138,-217.16,-215.513,-840.0,1548.75,-1032.5,639.92,237.12,77.52
694409.2109,-954.589,-208.498,-214.598,1435.0,1968.75,-1715.0,629.28,241.68,89.68
694409.2609,-957.578,-209.169,-213.744,-936.25,1470.0,-1487.5,633.84,226.48,101.84
694409.3109,-957.944,-211.975,-212.219,-1032.5,1452.5,-1575.0,629.28,234.08,71.44
694409.3609,-953.491,-212.524,-213.073,26.25,2388.75,-1478.75,635.36,231.04,88.16
694409.4109,-958.31,-211.731,-215.269,-78.75,2336.25,-1400.0,630.8,243.2,59.28
694409.4609,-950.868,-208.437,-215.757,-945.0,2196.25,-1767.5,629.28,229.52,89.68
694409.5109,-958.615,-213.439,-214.537,-883.75,1601.25,-1487.5,639.92,238.64,72.96
694409.5609,-955.504,-209.962,-213.744,-560.0,2091.25,-1242.5,636.88,237.12,85.12
694409.6109,-952.149,-207.827,-217.404,-603.75,2485.0,-1566.25,652.08,224.96,88.16
694409.6609,-950.319,-212.524,-217.16,-2520.0,2161.25,-1076.25,621.68,234.08,80.56
694409.7109,-956.724,-208.498,-213.988,-1995.0,988.75,-1163.75,614.08,235.6,98.8
694409.7609,-944.829,-213.988,-215.452,1513.75,2371.25,-2170.0,633.84,238.64,76.0
694409.8109,-954.711,-209.352,-216.855,-1321.25,2117.5,-848.75,623.2,229.52,83.6
694409.8609,-953.674,-209.84,-220.393,-481.25,2730.0,-1216.25,638.4,237.12,76.0
694409.9109,-949.404,-207.4,-219.356,-1155.0,2598.75,-1198.75,626.24,243.2,74.48
694409.9609,-955.809,-204.289,-223.443,-1111.25,2222.5,-1181.25,623.2,226.48,92.72
694410.0109,-952.698,-209.84,-222.955,175.0,2388.75,-1942.5,635.36,229.52,72.96
694410.0609,-955.077,-207.766,-219.966,-385.0,1277.5,-1811.25,627.76,231.04,85.12
694410.1109,-952.271,-208.376,-219.783,-306.25,1548.75,-1977.5,636.88,240.16,85.12
